Distance,Buffer,D-Glucose,L-Glucose,Mannose
0,0,0,0,0
1.8884,0,0,0,0
3.7768,0,0,0,0
5.6652,0,0,0,0
7.5535,0,0,0,0
9.4419,0,0,0,0
11.3303,0,0,0,0
13.2187,0,0,0,0
15.1071,0,0,0,0
16.9955,0,0,0,0
18.8839,0,0,0,0
20.7723,0,0,0,0
22.6606,0,0,0,0
24.549,0,0,0,0
26.4374,0,0,0,0
28.3258,0,0,0,0
30.2142,0,0,0,0
32.1026,0,0,0,0
33.991,0,0,0,0
35.8794,0,0,0,0
37.7677,0,0,0,0
39.6561,0,0,0,0
41.5445,0,0,0,0
43.4329,0,0,0,0
45.3213,0,0,0,0
47.2097,0,0.004901961,0,0
49.0981,0,0.009803922,0,0
50.9865,0,0.014705882,0,0
52.8748,0,0.014705882,0,0
54.7632,0,0.019607843,0,0.018018018
56.6516,0,0.029411765,0,0.018018018
58.54,0.008547009,0.034313726,0,0.027027027
60.4284,0.008547009,0.039215686,0.004385965,0.018018018
62.3168,0.008547009,0.034313726,0.00877193,0.027027027
64.2052,0.025641026,0.039215686,0.00877193,0.036036036
66.0936,0.025641026,0.044117647,0.00877193,0.027027027
67.9819,0.025641026,0.039215686,0.021929825,0.045045045
69.8703,0.034188034,0.044117647,0.039473684,0.054054054
71.7587,0.051282051,0.058823529,0.030701754,0.063063063
73.6471,0.051282051,0.068627451,0.048245614,0.072072072
75.5355,0.076923077,0.068627451,0.043859649,0.063063063
77.4239,0.05982906,0.073529412,0.048245614,0.072072072
79.3123,0.05982906,0.083333333,0.061403509,0.081081081
81.2006,0.068376068,0.093137255,0.065789474,0.09009009
83.089,0.085470085,0.102941176,0.078947368,0.09009009
84.9774,0.102564103,0.117647059,0.083333333,0.108108108
86.8658,0.102564103,0.137254902,0.096491228,0.117117117
88.7542,0.128205128,0.147058824,0.109649123,0.135135135
90.6426,0.136752137,0.156862745,0.122807018,0.153153153
92.531,0.153846154,0.181372549,0.135964912,0.162162162
94.4194,0.162393162,0.191176471,0.162280702,0.171171171
96.3077,0.179487179,0.220588235,0.188596491,0.198198198
98.1961,0.196581197,0.240196078,0.201754386,0.216216216
100.0845,0.230769231,0.259803922,0.214912281,0.225225225
101.9729,0.239316239,0.284313726,0.24122807,0.261261261
103.8613,0.273504274,0.31372549,0.263157895,0.27027027
105.7497,0.290598291,0.338235294,0.280701754,0.297297297
107.6381,0.324786325,0.357843137,0.320175439,0.324324324
109.5265,0.358974359,0.387254902,0.355263158,0.342342342
111.4148,0.393162393,0.411764706,0.390350877,0.387387387
113.3032,0.418803419,0.43627451,0.407894737,0.414414414
115.1916,0.435897436,0.455882353,0.434210526,0.423423424
117.08,0.478632479,0.485294118,0.48245614,0.459459459
118.9684,0.495726496,0.524509804,0.504385965,0.486486486
120.8568,0.52991453,0.553921569,0.539473684,0.513513514
122.7452,0.598290598,0.588235294,0.574561403,0.558558559
124.6336,0.623931624,0.62254902,0.605263158,0.603603604
126.5219,0.649572649,0.656862745,0.635964912,0.630630631
128.4103,0.692307692,0.700980392,0.671052632,0.657657658
130.2987,0.709401709,0.725490196,0.710526316,0.675675676
132.1871,0.752136752,0.745098039,0.73245614,0.72972973
134.0755,0.786324786,0.764705882,0.75877193,0.747747748
135.9639,0.803418803,0.784313726,0.789473684,0.783783784
137.8523,0.803418803,0.803921569,0.820175439,0.810810811
139.7406,0.854700855,0.828431373,0.850877193,0.810810811
141.629,0.897435897,0.87254902,0.850877193,0.846846847
143.5174,0.905982906,0.892156863,0.877192982,0.864864865
145.4058,0.914529915,0.901960784,0.899122807,0.891891892
147.2942,0.94017094,0.921568627,0.916666667,0.891891892
149.1826,0.965811966,0.926470588,0.916666667,0.90990991
151.071,0.957264957,0.93627451,0.938596491,0.936936937
152.9594,0.965811966,0.950980392,0.951754386,0.936936937
154.8477,0.974358974,0.965686274,0.964912281,0.954954955
156.7361,0.982905983,0.965686274,0.969298246,0.972972973
158.6245,0.991452992,0.960784314,0.98245614,0.972972973
160.5129,1,0.975490196,0.99122807,0.972972973
162.4013,0.991452992,0.985294118,0.98245614,0.981981982
164.2897,1,0.985294118,0.99122807,0.990990991
166.1781,0.982905983,0.990196079,1,0.990990991
168.0665,1,1,1,1
169.9548,0.974358974,0.995098039,0.978070176,0.981981982
171.8432,0.974358974,0.985294118,0.964912281,0.963963964
173.7316,0.957264957,0.980392157,0.960526316,0.972972973
175.62,0.957264957,0.970588235,0.947368421,0.945945946
177.5084,0.948717949,0.955882353,0.929824561,0.954954955
179.3968,0.905982906,0.93627451,0.903508772,0.945945946
181.2852,0.931623932,0.931372549,0.903508772,0.918918919
183.1736,0.923076923,0.931372549,0.885964912,0.918918919
185.0619,0.854700855,0.916666667,0.894736842,0.882882883
186.9503,0.88034188,0.901960784,0.859649123,0.882882883
188.8387,0.829059829,0.882352941,0.824561403,0.846846847
190.7271,0.794871795,0.857843137,0.807017544,0.846846847
192.6155,0.760683761,0.833333333,0.785087719,0.810810811
194.5039,0.735042735,0.808823529,0.771929824,0.783783784
196.3923,0.709401709,0.794117647,0.763157895,0.774774775
198.2806,0.683760684,0.779411765,0.714912281,0.756756757
200.169,0.641025641,0.745098039,0.675438597,0.720720721
202.0574,0.632478633,0.715686274,0.666666667,0.693693694
203.9458,0.598290598,0.681372549,0.609649123,0.666666667
205.8342,0.555555556,0.651960784,0.574561403,0.621621622
207.7226,0.538461538,0.62254902,0.543859649,0.594594595
209.611,0.495726496,0.588235294,0.504385965,0.567567568
211.4994,0.452991453,0.56372549,0.478070176,0.522522522
213.3877,0.435897436,0.534313726,0.451754386,0.504504505
215.2761,0.401709402,0.5,0.425438597,0.459459459
217.1645,0.376068376,0.465686274,0.390350877,0.432432432
219.0529,0.350427351,0.43627451,0.359649123,0.414414414
220.9413,0.324786325,0.406862745,0.328947368,0.378378378
222.8297,0.299145299,0.37745098,0.307017544,0.351351351
224.7181,0.256410256,0.343137255,0.285087719,0.315315315
226.6065,0.239316239,0.318627451,0.25877193,0.297297297
228.4948,0.222222222,0.303921569,0.23245614,0.261261261
230.3832,0.179487179,0.289215686,0.188596491,0.243243243
232.2716,0.188034188,0.259803922,0.171052632,0.216216216
234.16,0.170940171,0.240196078,0.157894737,0.189189189
236.0484,0.128205128,0.220588235,0.144736842,0.171171171
237.9368,0.11965812,0.18627451,0.118421053,0.162162162
239.8252,0.102564103,0.161764706,0.105263158,0.144144144
241.7135,0.076923077,0.147058824,0.096491228,0.135135135
243.6019,0.068376068,0.147058824,0.083333333,0.108108108
245.4903,0.051282051,0.137254902,0.070175439,0.099099099
247.3787,0.042735043,0.117647059,0.057017544,0.081081081
249.2671,0.025641026,0.102941176,0.048245614,0.072072072
251.1555,0.025641026,0.093137255,0.035087719,0.072072072
253.0439,0.017094017,0.078431373,0.035087719,0.054054054
254.9323,0.008547009,0.068627451,0.035087719,0.045045045
256.8206,0,0.068627451,0.01754386,0.045045045
258.709,0,0.058823529,0.00877193,0.045045045
260.5974,0,0.044117647,0,0.027027027
262.4858,0,0.039215686,0,0.018018018
264.3742,0,0.039215686,0,0.018018018
266.2626,0,0.029411765,0,0.018018018
268.151,0,0.024509804,0,0.018018018
270.0394,0,0.019607843,0,0.018018018
271.9277,0,0.014705882,0,0.018018018
273.8161,0,0.009803922,0,0
275.7045,0,0.009803922,0,0
277.5929,0,0.004901961,0,0
279.4813,0,0,0,0
281.3697,0,0,0,0
283.2581,0,0,0,0
285.1465,0,0,0,0
287.0349,0,0,0,0
288.9232,0,0,0,0
290.8116,0,0,0,0
292.7,0,0,0,0
294.5884,0,0,0,0
296.4768,0,0,0,0
298.3652,0,0,0,0
300.2535,0,0,0,0
302.1419,0,0,0,0
304.0303,0,0,0,0
305.9187,0,0,0,0
307.8071,0,0,0,0
309.6955,0,0,0,0
311.5839,0,0,0,0
313.4723,0,0,0,0
315.3607,0,0,0,0
317.249,0,0,0,0
319.1374,0,0,0,0
321.0258,0,0,0,0
322.9142,0,0,0,0