Distance,b1,b2,t1,t2
0,0,0,0,0
1.8884,0,0,0,0
3.7768,0,0,0,0
5.6652,0,0,0,0
7.5535,0,0,0,0
9.4419,0,0,0,0
11.3303,0,0,0,0
13.2187,0,0,0,0
15.1071,0,0,0,0
16.9955,0,0,0,0
18.8839,0,0,0,0
20.7723,0,0,0,0
22.6606,0,0,0,0
24.549,0,0,0,0
26.4374,0,0,0,0
28.3258,0,0,0,0
30.2142,0,0,0,0
32.1026,0,0,0,0
33.991,0,0,0,0
35.8794,0,0,0,0
37.7677,0,0,0,0
39.6561,0,0,0,0
41.5445,0,0,0,0
43.4329,0,0,0,0
45.3213,0,0,0,0
47.2097,0,0,0,0
49.0981,0,0,0,0
50.9865,0,0,0,0
52.8748,0,0,0,0
54.7632,0,0,0,0
56.6516,0,0,0,0
58.54,0,0,0,0
60.4284,0,0,0,0
62.3168,0,0,0,0
64.2052,0,0,0,0
66.0936,0,0,0,0
67.9819,0,0,0,0
69.8703,0,0,0,0
71.7587,0,0,0.00934579,0
73.6471,0.00806452,0,0.00934579,0.00662252
75.5355,0.00806452,0,0.0140187,0.00662252
77.4239,0.00806452,0,0.0186916,0.0198675
79.3123,0.00806452,0,0.0280374,0.0397351
81.2006,0.0241935,0,0.0327103,0.0397351
83.089,0.0241935,0.0238095,0.0373832,0.0397351
84.9774,0.0322581,0.0238095,0.046729,0.0463576
86.8658,0.0322581,0.0238095,0.0560748,0.0596026
88.7542,0.0564516,0.047619,0.0560748,0.0662252
90.6426,0.0725806,0.047619,0.0700935,0.0662252
92.531,0.0806452,0.0714286,0.088785,0.0728477
94.4194,0.0887097,0.0952381,0.0981308,0.0927152
96.3077,0.129032,0.0952381,0.121495,0.119205
98.1961,0.137097,0.119048,0.14486,0.139073
100.085,0.145161,0.142857,0.168224,0.152318
101.973,0.177419,0.142857,0.21028,0.165563
103.861,0.201613,0.142857,0.233645,0.18543
105.75,0.225806,0.166667,0.261682,0.205298
107.638,0.274194,0.190476,0.280374,0.218543
109.526,0.306452,0.214286,0.313084,0.238411
111.415,0.33871,0.261905,0.345794,0.264901
113.303,0.354839,0.285714,0.364486,0.284768
115.192,0.395161,0.309524,0.38785,0.317881
117.08,0.435484,0.333333,0.415888,0.357616
118.968,0.483871,0.357143,0.443925,0.384106
120.857,0.5,0.404762,0.476636,0.410596
122.745,0.540323,0.452381,0.514019,0.437086
124.634,0.58871,0.47619,0.560748,0.470199
126.522,0.620968,0.47619,0.607477,0.509934
128.41,0.653226,0.52381,0.654206,0.543046
130.299,0.685484,0.595238,0.686916,0.569536
132.187,0.717742,0.619048,0.71028,0.596026
134.076,0.75,0.619048,0.733645,0.629139
135.964,0.766129,0.642857,0.757009,0.662252
137.852,0.814516,0.690476,0.78972,0.695364
139.741,0.822581,0.738095,0.813084,0.708609
141.629,0.83871,0.761905,0.831776,0.715232
143.517,0.887097,0.785714,0.845794,0.748344
145.406,0.919355,0.833333,0.869159,0.774834
147.294,0.927419,0.880952,0.88785,0.807947
149.183,0.919355,0.880952,0.911215,0.84106
151.071,0.951613,0.904762,0.929907,0.847682
152.959,0.951613,0.904762,0.925234,0.860927
154.848,0.943548,0.928571,0.943925,0.89404
156.736,0.959677,0.928571,0.96729,0.913907
158.625,0.975806,0.904762,0.976636,0.907285
160.513,0.991935,0.928571,0.976636,0.92053
162.401,1,0.952381,0.976636,0.940397
164.29,0.991935,0.97619,0.990654,0.933775
166.178,0.983871,1,1,0.960265
168.066,1,1,1,0.980132
169.955,0.983871,1,0.995327,0.980132
171.843,0.991935,0.97619,0.990654,0.993377
173.732,0.991935,0.952381,0.990654,1
175.62,0.983871,0.952381,0.971963,0.993377
177.508,0.975806,0.952381,0.957944,0.986755
179.397,0.943548,0.952381,0.957944,0.993377
181.285,0.927419,0.952381,0.957944,0.986755
183.174,0.927419,0.928571,0.953271,0.993377
185.062,0.919355,0.904762,0.943925,1
186.95,0.895161,0.904762,0.929907,0.980132
188.839,0.879032,0.904762,0.901869,0.953642
190.727,0.862903,0.880952,0.869159,0.94702
192.615,0.83871,0.857143,0.850467,0.94702
194.504,0.790323,0.833333,0.831776,0.940397
196.392,0.766129,0.809524,0.808411,0.933775
198.281,0.733871,0.785714,0.785047,0.900662
200.169,0.717742,0.738095,0.752336,0.854305
202.057,0.685484,0.714286,0.728972,0.84106
203.946,0.629032,0.714286,0.71028,0.821192
205.834,0.612903,0.690476,0.686916,0.788079
207.723,0.564516,0.642857,0.649533,0.781457
209.611,0.532258,0.619048,0.602804,0.754967
211.499,0.508065,0.595238,0.570093,0.721854
213.388,0.443548,0.571429,0.542056,0.695364
215.276,0.41129,0.547619,0.5,0.675497
217.165,0.370968,0.5,0.462617,0.649007
219.053,0.33871,0.47619,0.429907,0.615894
220.941,0.314516,0.452381,0.397196,0.589404
222.83,0.282258,0.404762,0.369159,0.556291
224.718,0.241935,0.380952,0.336449,0.523179
226.607,0.201613,0.357143,0.299065,0.483444
228.495,0.169355,0.309524,0.271028,0.456954
230.383,0.145161,0.261905,0.242991,0.430464
232.272,0.145161,0.238095,0.219626,0.397351
234.16,0.112903,0.214286,0.205607,0.377483
236.048,0.0887097,0.190476,0.182243,0.357616
237.937,0.0887097,0.166667,0.158879,0.324503
239.825,0.0645161,0.119048,0.140187,0.298013
241.714,0.0564516,0.0952381,0.121495,0.271523
243.602,0.0483871,0.0952381,0.0981308,0.238411
245.49,0.0403226,0.0714286,0.0794393,0.225166
247.379,0.0403226,0.0714286,0.0747664,0.205298
249.267,0.016129,0.0714286,0.0654206,0.178808
251.155,0.016129,0.047619,0.0560748,0.15894
253.044,0,0.047619,0.0420561,0.145695
254.932,0,0.0238095,0.0327103,0.13245
256.821,0,0,0.0327103,0.112583
258.709,0,0,0.0280374,0.0927152
260.597,0,0,0.0140187,0.0794702
262.486,0,0,0.0046729,0.0662252
264.374,0,0,0.0046729,0.0596026
266.263,0,0,0,0.0596026
268.151,0,0,0,0.0463576
270.039,0,0,0,0.0397351
271.928,0,0,0,0.0264901
273.816,0,0,0,0.013245
275.704,0,0,0,0.00662252
277.593,0,0,0,0
279.481,0,0,0,0
281.37,0,0,0,0
283.258,0,0,0,0
285.147,0,0,0,0
287.035,0,0,0,0
288.923,0,0,0,0
290.812,0,0,0,0
292.7,0,0,0,0
294.588,0,0,0,0
296.477,0,0,0,0
298.365,0,0,0,0
300.253,0,0,0,0
302.142,0,0,0,0
304.03,0,0,0,0
305.919,0,0,0,0
307.807,0,0,0,0
309.695,0,0,0,0
311.584,0,0,0,0
313.472,0,0,0,0
315.361,0,0,0,0
317.249,0,0,0,0
319.137,0,0,0,0
321.026,0,0,0,0
322.914,0,0,0,0